seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Peter,Saunders,29,Itoud Junction,Ejojabo,LA,44779,$2848.53,RED,09/08/2051
2,Jeffery,Hogan,19,Medof Lane,Hamdeiv,FL,60514,$9065.74,BLUE,05/20/2038
3,Essie,Jimenez,62,Rulmez Point,Beculipa,SC,18201,$7172.93,RED,05/19/2006
4,Don,Clarke,43,Ikre Boulevard,Puspifo,PA,87033,$5695.59,BLUE,07/25/1923
5,Lydia,Bowman,27,Zozek Extension,Hejpoho,TX,34601,$2769.31,WHITE,04/19/2025
6,Minnie,Hampton,53,Tudce Highway,Cikulacu,OR,94025,$1875.28,YELLOW,11/16/2063
7,Alex,Powers,57,Jogco Court,Sududaji,OH,08747,$1777.49,YELLOW,09/14/1991
8,Terry,Parsons,50,Juvit Heights,Nesowga,MI,69280,$3469.28,YELLOW,10/01/1944
9,Matilda,Brooks,48,Cinte Square,Wuedmok,SD,78466,$9356.88,WHITE,09/12/1949
10,Mark,Brock,36,Zigkoc View,Fadope,MN,12388,$1369.13,WHITE,07/10/2065
11,Rachel,Pierce,59,Gulgin Grove,Cutabaev,OH,01470,$614.56,BLUE,07/17/1927
12,Genevieve,Jefferson,62,Vikah Point,Sehnuad,IA,90496,$5325.90,YELLOW,05/07/1955
13,Katie,Wilkerson,27,Bape Loop,Necihig,MS,23700,$5161.43,RED,12/05/1973
14,Lura,Alvarado,57,Kaek Court,Faefes,TN,60591,$5279.01,BLUE,02/04/2044
15,Alexander,Sherman,18,Ripu Way,Ulunuig,WV,75369,$4258.52,RED,06/26/1905
16,Maria,Collins,36,Bopre Boulevard,Emubesuz,MO,95191,$450.79,YELLOW,12/31/2021
17,Sophie,Hanson,63,Hedase Center,Adewade,TX,85285,$1769.18,WHITE,07/22/1991
18,Ronald,Ryan,45,Fuvfo Boulevard,Vedjowen,AL,64653,$1766.72,RED,08/23/2029
19,Pearl,Cook,50,Tovva Key,Behazecew,VA,12239,$8524.53,WHITE,07/08/1990
20,Maria,Ortega,22,Roroko River,Fairban,TX,62951,$6292.78,BLUE,04/29/1975
21,Dylan,Colon,58,Olaul Turnpike,Kunogdu,NM,02372,$7260.13,WHITE,03/15/1949
22,Matthew,Poole,30,Hospa Loop,Zafgansuj,ME,16263,$701.19,BLUE,10/25/1955
23,Andrew,Wheeler,19,Arli Boulevard,Jowakzi,GA,03418,$184.77,WHITE,07/15/1961
24,Nathan,Wilkerson,44,Toloc Terrace,Zilduwan,MD,21513,$8343.72,YELLOW,12/13/1916
25,Madge,Barber,26,Lucwom Manor,Wodojnaw,SC,52823,$5021.79,WHITE,11/23/1987
26,Carrie,Ferguson,19,Tapepu Boulevard,Hiimac,KY,46376,$8984.07,YELLOW,03/13/2037
27,Leona,Smith,64,Depja Park,Ramizi,OK,60376,$9217.65,RED,02/02/2031
28,Stella,Thompson,65,Aniuv Loop,Sohfemowo,MA,39108,$1345.25,WHITE,08/31/1955
29,Francis,Becker,49,Piwuz Pike,Bigguswi,HI,60619,$14.23,GREEN,08/31/1989
30,Rachel,Gregory,59,Gagib Highway,Katipig,HI,41788,$4271.56,GREEN,07/17/1967
31,Bess,Bowers,62,Lobo Terrace,Ivudiwi,OH,06481,$2276.93,YELLOW,04/14/1997
32,Justin,Knight,65,Usuotu Manor,Emsitah,NJ,66493,$6420.55,RED,09/02/1925
33,Dustin,Lyons,25,Cajon Loop,Jopehag,AK,34662,$2449.04,YELLOW,12/23/1967
34,Derek,Warren,58,Wifne Terrace,Lozkohsum,NJ,02776,$8994.46,GREEN,11/27/2055
35,Adele,Pearson,60,Ugor Drive,Uvlejreb,WI,50418,$3188.41,BLUE,07/28/1941
36,Nettie,Sims,44,Mivig Manor,Gagliteju,MS,67794,$7419.88,GREEN,07/15/1916
37,Kyle,Snyder,43,Rupic Lane,Jekfibad,GA,66010,$2089.62,RED,01/28/1946
38,Leroy,Ball,55,Pedkib Center,Niumdoj,WI,33128,$3806.53,GREEN,11/29/1946
39,Caroline,Barker,50,Azovif Road,Obhitiz,HI,54774,$151.11,RED,01/05/2020
